PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
90319,2020-11-18,02079K30,GOOGL,45483,,1740.64001,1001308,-0.011932,300644
90319,2020-11-19,02079K30,GOOGL,45483,,1758.56995,1000728,0.010301,300644
90319,2020-11-20,02079K30,GOOGL,45483,,1736.38000,1379573,-0.012618,300644
90319,2020-11-23,02079K30,GOOGL,45483,,1727.56006,1122781,-0.005080,300644
90319,2020-11-24,02079K30,GOOGL,45483,,1763.90002,1394011,0.021035,300644
90319,2020-11-25,02079K30,GOOGL,45483,,1764.13000,975428,0.000130,300644
90319,2020-11-27,02079K30,GOOGL,45483,,1787.02002,734457,0.012975,300644
90319,2020-11-30,02079K30,GOOGL,45483,,1754.40002,1616527,-0.018254,300644
90319,2020-12-01,02079K30,GOOGL,45483,,1795.35999,1853593,0.023347,300644
90319,2020-12-02,02079K30,GOOGL,45483,,1824.96997,1465985,0.016493,300644
90319,2020-12-03,02079K30,GOOGL,45483,,1821.83997,1234151,-0.001715,300644
90319,2020-12-04,02079K30,GOOGL,45483,,1823.76001,1024028,0.001054,300644
90319,2020-12-07,02079K30,GOOGL,45483,,1817.03003,1107259,-0.003690,300644
90319,2020-12-08,02079K30,GOOGL,45483,,1811.32996,994443,-0.003137,300644
90319,2020-12-09,02079K30,GOOGL,45483,,1777.85999,1581433,-0.018478,300644
90319,2020-12-10,02079K30,GOOGL,45483,,1767.65002,1440067,-0.005743,300644
90319,2020-12-11,02079K30,GOOGL,45483,,1774.80005,928041,0.004045,300644
90319,2020-12-14,02079K30,GOOGL,45483,,1752.26001,1641606,-0.012700,300644
90319,2020-12-15,02079K30,GOOGL,45483,,1761.07996,1062951,0.005033,300644
90319,2020-12-16,02079K30,GOOGL,45483,,1757.18994,1229339,-0.002209,300644
90319,2020-12-17,02079K30,GOOGL,45483,,1740.51001,1733230,-0.009492,300644
90319,2020-12-18,02079K30,GOOGL,45483,,1726.21997,4247919,-0.008210,300644
90319,2020-12-21,02079K30,GOOGL,45483,,1734.56006,1693809,0.004831,300644
90319,2020-12-22,02079K30,GOOGL,45483,,1720.21997,1015316,-0.008267,300644
90319,2020-12-23,02079K30,GOOGL,45483,,1728.22998,1145751,0.004656,300644
90319,2020-12-24,02079K30,GOOGL,45483,,1734.16003,463061,0.003431,300644
90319,2020-12-28,02079K30,GOOGL,45483,,1773.95996,1379582,0.022951,300644
90319,2020-12-29,02079K30,GOOGL,45483,,1757.76001,981434,-0.009132,300644
90319,2020-12-30,02079K30,GOOGL,45483,,1736.25000,1043197,-0.012237,300644
90319,2020-12-31,02079K30,GOOGL,45483,,1752.64001,1046643,0.009440,300730
90319,2021-01-04,02079K30,GOOGL,45483,,1726.13000,1858774,-0.015126,300730
90319,2021-01-05,02079K30,GOOGL,45483,,1740.05005,1011576,0.008064,300730
90319,2021-01-06,02079K30,GOOGL,45483,,1722.88000,2315320,-0.009868,300730
90319,2021-01-07,02079K30,GOOGL,45483,,1774.33997,2088113,0.029869,300730
90319,2021-01-08,02079K30,GOOGL,45483,,1797.82996,1761623,0.013239,300730
90319,2021-01-11,02079K30,GOOGL,45483,,1756.29004,1732428,-0.023106,300730
90319,2021-01-12,02079K30,GOOGL,45483,,1737.43005,1468813,-0.010739,300730
90319,2021-01-13,02079K30,GOOGL,45483,,1747.25000,1168657,0.005652,300730
90319,2021-01-14,02079K30,GOOGL,45483,,1730.92004,1452778,-0.009346,300730
90319,2021-01-15,02079K30,GOOGL,45483,,1727.62000,1567786,-0.001907,300730
90319,2021-01-19,02079K30,GOOGL,45483,,1784.46997,2075221,0.032907,300730
90319,2021-01-20,02079K30,GOOGL,45483,,1880.06995,3191605,0.053573,300730
90319,2021-01-21,02079K30,GOOGL,45483,,1884.15002,2918820,0.002170,300730
90319,2021-01-22,02079K30,GOOGL,45483,,1892.56006,1630917,0.004464,300730
90319,2021-01-25,02079K30,GOOGL,45483,,1894.28003,2518901,0.000909,300730
90319,2021-01-26,02079K30,GOOGL,45483,,1907.94995,1566108,0.007216,300737
90319,2021-01-27,02079K30,GOOGL,45483,,1818.93994,4099377,-0.046652,300737
90319,2021-01-28,02079K30,GOOGL,45483,,1853.19995,2753128,0.018835,300737
90319,2021-01-29,02079K30,GOOGL,45483,,1827.35999,2217139,-0.013943,300737
90319,2021-02-01,02079K30,GOOGL,45483,,1893.06995,2000398,0.035959,300737
