PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
14593,2015-10-06,03783310,AAPL,7,,111.31000,49336315,0.004784,5702722
14593,2015-10-07,03783310,AAPL,7,,110.78000,46774758,-0.004761,5702722
14593,2015-10-08,03783310,AAPL,7,,109.50000,61979577,-0.011554,5702722
14593,2015-10-09,03783310,AAPL,7,,112.12000,52766140,0.023927,5575331
14593,2015-10-12,03783310,AAPL,7,,111.60000,30467204,-0.004638,5575331
14593,2015-10-13,03783310,AAPL,7,,111.79000,33049256,0.001703,5575331
14593,2015-10-14,03783310,AAPL,7,,110.21000,44467249,-0.014134,5575331
14593,2015-10-15,03783310,AAPL,7,,111.86000,37673465,0.014971,5575331
14593,2015-10-16,03783310,AAPL,7,,111.04000,39233810,-0.007331,5575331
14593,2015-10-19,03783310,AAPL,7,,111.73000,29959503,0.006214,5575331
14593,2015-10-20,03783310,AAPL,7,,113.77000,48967763,0.018258,5575331
14593,2015-10-21,03783310,AAPL,7,,113.76000,42330874,-0.000088,5575331
14593,2015-10-22,03783310,AAPL,7,,115.50000,41654089,0.015295,5575331
14593,2015-10-23,03783310,AAPL,7,,119.08000,59367314,0.030996,5575331
14593,2015-10-26,03783310,AAPL,7,,115.28000,66394339,-0.031911,5575331
14593,2015-10-27,03783310,AAPL,7,,114.55000,70091598,-0.006332,5575331
14593,2015-10-28,03783310,AAPL,7,,119.27000,85595372,0.041205,5575331
14593,2015-10-29,03783310,AAPL,7,,120.53000,51227334,0.010564,5575331
14593,2015-10-30,03783310,AAPL,7,,119.50000,49365254,-0.008546,5575331
14593,2015-11-02,03783310,AAPL,7,,121.18000,32390719,0.014059,5575331
14593,2015-11-03,03783310,AAPL,7,,122.57000,45530076,0.011471,5575331
14593,2015-11-04,03783310,AAPL,7,,122.00000,44986050,-0.004650,5575331
14593,2015-11-05,03783310,AAPL,7,,120.92000,39551080,-0.004590,5575331
14593,2015-11-06,03783310,AAPL,7,,121.06000,33076783,0.001158,5575331
14593,2015-11-09,03783310,AAPL,7,,120.57000,33871508,-0.004048,5575331
14593,2015-11-10,03783310,AAPL,7,,116.77000,59328452,-0.031517,5575331
14593,2015-11-11,03783310,AAPL,7,,116.11000,45217971,-0.005652,5575331
14593,2015-11-12,03783310,AAPL,7,,115.72000,32525679,-0.003359,5575331
14593,2015-11-13,03783310,AAPL,7,,112.34000,45812403,-0.029208,5575331
14593,2015-11-16,03783310,AAPL,7,,114.17500,38110523,0.016334,5575331
14593,2015-11-17,03783310,AAPL,7,,113.69000,27618052,-0.004248,5575331
14593,2015-11-18,03783310,AAPL,7,,117.29000,46675466,0.031665,5575331
14593,2015-11-19,03783310,AAPL,7,,118.78000,43321466,0.012704,5575331
14593,2015-11-20,03783310,AAPL,7,,119.30000,34287496,0.004378,5575331
14593,2015-11-23,03783310,AAPL,7,,117.75000,33064013,-0.012992,5575331
14593,2015-11-24,03783310,AAPL,7,,118.88000,42803207,0.009597,5575331
14593,2015-11-25,03783310,AAPL,7,,118.03000,21388308,-0.007150,5575331
14593,2015-11-27,03783310,AAPL,7,,117.81000,13046445,-0.001864,5575331
14593,2015-11-30,03783310,AAPL,7,,118.30000,39180335,0.004159,5575331
14593,2015-12-01,03783310,AAPL,7,,117.34000,34852374,-0.008115,5575331
14593,2015-12-02,03783310,AAPL,7,,116.28000,33386665,-0.009034,5575331
14593,2015-12-03,03783310,AAPL,7,,115.20000,41569609,-0.009288,5575331
14593,2015-12-04,03783310,AAPL,7,,119.03000,57776977,0.033247,5575331
14593,2015-12-07,03783310,AAPL,7,,118.28000,32188282,-0.006301,5575331
14593,2015-12-08,03783310,AAPL,7,,118.23000,34309450,-0.000423,5575331
14593,2015-12-09,03783310,AAPL,7,,115.62000,46911357,-0.022076,5575331
14593,2015-12-10,03783310,AAPL,7,,116.17000,29212727,0.004757,5575331
14593,2015-12-11,03783310,AAPL,7,,113.18000,46887061,-0.025738,5575331
14593,2015-12-14,03783310,AAPL,7,,112.48000,65003634,-0.006185,5575331
14593,2015-12-15,03783310,AAPL,7,,110.49000,53323105,-0.017692,5575331
14593,2015-12-16,03783310,AAPL,7,,111.34000,56305067,0.007693,5575331
14593,2015-12-17,03783310,AAPL,7,,108.98000,44772827,-0.021196,5575331
14593,2015-12-18,03783310,AAPL,7,,106.03000,96531327,-0.027069,5575331
14593,2015-12-21,03783310,AAPL,7,,107.33000,47590710,0.012261,5575331
14593,2015-12-22,03783310,AAPL,7,,107.23000,32789367,-0.000932,5575331
14593,2015-12-23,03783310,AAPL,7,,108.61000,32846354,0.012870,5575331
14593,2015-12-24,03783310,AAPL,7,,108.03000,13596740,-0.005340,5544487
14593,2015-12-28,03783310,AAPL,7,,106.82000,26704210,-0.011201,5544487
14593,2015-12-29,03783310,AAPL,7,,108.74000,30931374,0.017974,5544487
14593,2015-12-30,03783310,AAPL,7,,107.32000,25363777,-0.013059,5544487
14593,2015-12-31,03783310,AAPL,7,,105.26000,40917316,-0.019195,5544487
14593,2016-01-04,03783310,AAPL,7,,105.35000,69383612,0.000855,5544487
14593,2016-01-05,03783310,AAPL,7,,102.71000,55791042,-0.025059,5544487
14593,2016-01-06,03783310,AAPL,7,,100.70000,68487388,-0.019570,5544487
14593,2016-01-07,03783310,AAPL,7,,96.45000,81466204,-0.042205,5544487
14593,2016-01-08,03783310,AAPL,7,,96.96000,70798746,0.005288,5544583
14593,2016-01-11,03783310,AAPL,7,,98.53000,49739377,0.016192,5544583
14593,2016-01-12,03783310,AAPL,7,,99.96000,49156327,0.014513,5544583
